"日期","收盘","开盘","高","低","百分比变化"
"2018年12月12日","6.8839","6.9000","6.9000","6.8767","-0.23%"
"2018年12月11日","6.9000","6.9120","6.9158","6.8932","-0.17%"
"2018年12月10日","6.9117","6.8918","6.9181","6.8861","0.52%"
"2018年12月9日","6.8757","6.8744","6.8757","6.8744","0.00%"
"2018年12月7日","6.8757","6.8800","6.8919","6.8682","-0.10%"
"2018年12月6日","6.8827","6.8559","6.8970","6.8559","0.38%"
"2018年12月5日","6.8567","6.8518","6.8712","6.8458","0.28%"
"2018年12月4日","6.8373","6.8835","6.8915","6.8338","-0.66%"
"2018年12月3日","6.8830","6.9275","6.9367","6.8830","-1.09%"
"2018年12月2日","6.9590","6.9590","6.9590","6.9590","-0.02%"
"2018年11月30日","6.9605","6.9496","6.9605","6.9449","0.26%"
"2018年11月29日","6.9425","6.9437","6.9477","6.9353","-0.16%"
"2018年11月28日","6.9539","6.9499","6.9574","6.9499","0.03%"
"2018年11月27日","6.9515","6.9491","6.9552","6.9446","0.15%"
"2018年11月26日","6.9408","6.9466","6.9481","6.9341","-0.11%"
"2018年11月25日","6.9485","6.9485","6.9485","6.9485","0.00%"
"2018年11月23日","6.9485","6.9328","6.9496","6.9320","0.24%"
"2018年11月22日","6.9319","6.9317","6.9389","6.9230","0.07%"
"2018年11月21日","6.9270","6.9435","6.9519","6.9270","-0.26%"
"2018年11月20日","6.9452","6.9439","6.9469","6.9367","0.05%"
"2018年11月19日","6.9420","6.9348","6.9472","6.9347","0.06%"
"2018年11月18日","6.9380","6.9380","6.9380","6.9380","0.00%"
"2018年11月16日","6.9380","6.9392","6.9518","6.9297","-0.02%"
"2018年11月15日","6.9393","6.9428","6.9473","6.9329","-0.16%"
"2018年11月14日","6.9505","6.9491","6.9551","6.9463","-0.08%"
"2018年11月13日","6.9560","6.9657","6.9710","6.9496","-0.11%"
"2018年11月12日","6.9635","6.9519","6.9704","6.9490","0.09%"
"2018年11月11日","6.9569","6.9569","6.9569","6.9569","0.00%"
"2018年11月9日","6.9568","6.9399","6.9568","6.9399","0.32%"
"2018年11月8日","6.9345","6.9254","6.9394","6.9254","0.21%"
"2018年11月7日","6.9200","6.9256","6.9435","6.9145","0.01%"
"2018年11月6日","6.9195","6.9268","6.9307","6.9136","-0.09%"
"2018年11月5日","6.9257","6.8902","6.9309","6.8902","0.51%"
"2018年11月4日","6.8909","6.8909","6.8909","6.8909","0.00%"
"2018年11月2日","6.8907","6.9108","6.9328","6.8689","-0.47%"
"2018年11月1日","6.9234","6.9685","6.9723","6.9216","-0.75%"
"2018年10月31日","6.9756","6.9680","6.9783","6.9638","0.12%"
"2018年10月30日","6.9672","6.9615","6.9720","6.9592","0.08%"
"2018年10月29日","6.9619","6.9402","6.9629","6.9401","0.26%"
"2018年10月28日","6.9435","6.9435","6.9435","6.9435","0.00%"
"2018年10月26日","6.9435","6.9535","6.9652","6.9351","-0.08%"
"2018年10月25日","6.9489","6.9443","6.9527","6.9422","0.07%"
"2018年10月24日","6.9440","6.9405","6.9456","6.9369","0.08%"
"2018年10月23日","6.9383","6.9454","6.9455","6.9357","-0.13%"
"2018年10月22日","6.9474","6.9319","6.9478","6.9319","0.26%"
"2018年10月21日","6.9295","6.9296","6.9296","6.9295","-0.00%"
"2018年10月19日","6.9297","6.9402","6.9422","6.9267","-0.11%"
"2018年10月18日","6.9376","6.9349","6.9429","6.9340","0.15%"
"2018年10月17日","6.9275","6.9115","6.9298","6.9114","0.22%"
"2018年10月16日","6.9120","6.9153","6.9277","6.9071","-0.07%"
"2018年10月15日","6.9168","6.9232","6.9336","6.9164","-0.08%"
"2018年10月14日","6.9222","6.9222","6.9222","6.9222","-0.00%"
"2018年10月12日","6.9225","6.8914","6.9322","6.8914","0.47%"
"2018年10月11日","6.8899","6.9243","6.9350","6.8899","-0.50%"
"2018年10月10日","6.9242","6.9227","6.9258","6.9169","0.02%"
"2018年10月9日","6.9227","6.9300","6.9300","6.9082","-0.12%"
"2018年10月8日","6.9307","6.9040","6.9338","6.8947","0.90%"
"2018年10月7日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年10月5日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年10月4日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年10月3日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年10月2日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年10月1日","6.8689","6.8689","6.8689","6.8689","0.00%"
"2018年9月30日","6.8689","6.8690","6.8690","6.8689","0.00%"
"2018年9月28日","6.8689","6.8872","6.8905","6.8678","-0.31%"
"2018年9月27日","6.8902","6.8788","6.8933","6.8700","0.17%"
"2018年9月26日","6.8786","6.8748","6.8803","6.8708","0.18%"
"2018年9月25日","6.8665","6.8608","6.8842","6.8605","0.14%"
"2018年9月24日","6.8571","6.8571","6.8571","6.8571","-0.01%"
"2018年9月23日","6.8578","6.8577","6.8578","6.8576","0.01%"
"2018年9月21日","6.8571","6.8357","6.8604","6.8337","0.15%"
"2018年9月20日","6.8468","6.8515","6.8583","6.8403","-0.02%"
"2018年9月19日","6.8483","6.8653","6.8676","6.8473","-0.19%"
"2018年9月18日","6.8616","6.8552","6.8807","6.8552","0.07%"
"2018年9月17日","6.8570","6.8695","6.8781","6.8558","-0.14%"
"2018年9月16日","6.8666","6.8709","6.8709","6.8654","-0.03%"
"2018年9月14日","6.8690","6.8447","6.8690","6.8447","0.35%"
"2018年9月13日","6.8448","6.8368","6.8541","6.8282","-0.23%"
"2018年9月12日","6.8606","6.8736","6.8826","6.8606","-0.18%"
"2018年9月11日","6.8730","6.8656","6.8791","6.8582","0.25%"
"2018年9月10日","6.8556","6.8479","6.8667","6.8479","0.23%"
"2018年9月9日","6.8400","6.8438","6.8468","6.8395","-0.06%"
"2018年9月7日","6.8438","6.8332","6.8498","6.8265","0.12%"
"2018年9月6日","6.8355","6.8298","6.8424","6.8239","0.07%"
"2018年9月5日","6.8305","6.8303","6.8469","6.8292","-0.20%"
"2018年9月4日","6.8442","6.8240","6.8453","6.8061","0.31%"
"2018年9月3日","6.8228","6.8434","6.8469","6.8174","-0.19%"
"2018年9月2日","6.8359","6.8300","6.8395","6.8300","0.06%"
"2018年8月31日","6.8315","6.8472","6.8485","6.8230","-0.19%"
"2018年8月30日","6.8445","6.8216","6.8446","6.8216","0.34%"
"2018年8月29日","6.8213","6.8012","6.8299","6.8012","0.27%"
"2018年8月28日","6.8030","6.8134","6.8214","6.7984","-0.18%"
"2018年8月27日","6.8156","6.8168","6.8266","6.8064","0.21%"
"2018年8月26日","6.8016","6.8063","6.8065","6.8000","-0.08%"
"2018年8月24日","6.8070","6.8755","6.8947","6.8070","-1.03%"
